Search term,Cost,Total conv. value,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate,View-through conv.
95 percent braid rg 6,0.01,0,0,1,1,0,1,0.01,0,0,0,0
a tone generator and probe,0.46,0,0,1,1,0,1,0.46,0,0,0,0
aerial coax 500,0.26,0,0,1,1,0,1,0.26,0,0,0,0
amazon coax cable,0.43,0,0,1,9,0,0.11,0.43,0,0,0,0
amazon personal cable recorders,0.45,0,0,1,2,0,0.5,0.45,0,0,0,0
amazon rg6 coax,0.31,0,0,1,3,0,0.33,0.31,0,0,0,0
amazon sewell speaker cable,0.22,0,0,1,2,0,0.5,0.22,0,0,0,0
amp cat5e cmx black,0.84,0,0,2,1,0,2,0.42,0,0,0,0
antenna cable in,0.42,0,0,1,2,0,0.5,0.42,0,0,0,0
audio braided wire,0.28,0,0,1,3,0,0.33,0.28,0,0,0,0
audio cables bulk,0.49,0,0,1,1,0,1,0.49,0,0,0,0
audio speaker wire,3.21,0,0,7,233,0,0.03,0.46,0,0,0,0
audio wire,2.54,0,0,7,486,0,0.01,0.36,0,0,0,0
audio wires for surround sound by the foot,0.5,0,0,1,1,0,1,0.5,0,0,0,0
av cable 500 feet,0.61,0,0,1,1,0,1,0.61,0,0,0,0
best bulk cat6 ethernet cable,0.61,0,0,1,4,0,0.25,0.61,0,0,0,0
best bulk rg6 coaxial cable,0.2,0,0,1,2,0,0.5,0.2,0,0,0,0
best buy cat5 cable,0.98,0,0,2,32,0,0.06,0.49,0,0,0,0
best buy cat5e,0.57,0,0,2,5,0,0.4,0.28,0,0,0,0
best buy rg6 cable,0.45,0,0,1,5,0,0.2,0.45,0,0,0,0
best buy security camera cable,0.5,0,0,1,1,0,1,0.5,0,0,0,0
best buy speaker wire cables and speakers,0.9,0,0,2,3,0,0.67,0.45,0,0,0,0
best cat5e cable,0.41,0,0,1,15,0,0.07,0.41,0,0,0,0
best deal for rolls of cat 5 cable,0.55,0,0,1,1,0,1,0.55,0,0,0,0
best home theater speaker wire,0.44,0,0,1,5,0,0.2,0.44,0,0,0,0
best place to buy speaker wire in hampton va,0.39,0,0,1,1,0,1,0.39,0,0,0,0
best price on speaker wire,0.62,0,0,1,4,0,0.25,0.62,0,0,0,0
best rg6 cable,0.45,0,0,1,20,0,0.05,0.45,0,0,0,0
best solid 14 gauge speaker wire,0.45,0,0,1,1,0,1,0.45,0,0,0,0
best speaker cable,0.48,0,0,1,5,0,0.2,0.48,0,0,0,0
best speaker wire,0.31,0,0,2,64,0,0.03,0.16,0,0,0,0
best speaker wire 14 gauge,0.33,0,0,1,1,0,1,0.33,0,0,0,0
best toner wire tracker,0.43,0,0,1,3,0,0.33,0.43,0,0,0,0
black cable spool,0.24,0,0,1,1,0,1,0.24,0,0,0,0
black cat 5 cable,0.63,0,0,2,20,0,0.1,0.32,0,0,0,0
black cat 5 cable bulk roll,0.34,20.57,1,1,1,60.5,1,0.34,0,0.34,1,0
black cat5 500ft,0.31,0,0,1,1,0,1,0.31,0,0,0,0
black cat5e bulk cable,0.37,0,0,1,2,0,0.5,0.37,0,0,0,0
black cat5e cable,1.32,0,0,4,52,0,0.08,0.33,0,0,0,0
black cat6 1000 ft,0.61,0,0,1,1,0,1,0.61,0,0,0,0
blue box cable,0.35,0,0,1,1,0,1,0.35,0,0,0,0
blue cat5e cable,0.28,0,0,1,1,0,1,0.28,0,0,0,0
blue network cable,0.34,0,0,1,9,0,0.11,0.34,0,0,0,0
bnc cable,0.94,0,0,2,183,0,0.01,0.47,0,0,0,0
bnc camera cable,2.34,0,0,5,397,0,0.01,0.47,0,0,0,0
bnc rg59 cables with power,0.37,0,0,1,1,0,1,0.37,0,0,0,0
bnc siamese cable for cctv installations,0.5,0,0,1,5,0,0.2,0.5,0,0,0,0
bnc wire,0.37,0,0,1,15,0,0.07,0.37,0,0,0,0
bonded foil 95 braid cable,0.36,16.08,1,1,1,44.67,1,0.36,0,0.36,1,0
box a cable cat 5,0.17,0,0,1,1,0,1,0.17,0,0,0,0
box of cat 5,0.67,0,0,2,8,0,0.25,0.34,0,0,0,0
box of cat5,0.21,0,0,1,8,0,0.13,0.21,0,0,0,0
box of cat5 cable,0.97,0,0,3,21,0,0.14,0.32,0,0,0,0
box of cat5 for sale,0.17,0,0,1,1,0,1,0.17,0,0,0,0
box of cat5 wire,0.31,0,0,1,1,0,1,0.31,0,0,0,0
box of cat5e,0.47,0,0,1,37,0,0.03,0.47,0,0,0,0
box of cat5e cable blue,0.68,0,0,2,3,0,0.67,0.34,0,0,0,0
box of cat5e cable blue,0.46,0,0,1,2,0,0.5,0.46,0,0,0,0
box of cat6,0.46,0,0,1,6,0,0.17,0.46,0,0,0,0
box of cat6 cable,0.47,0,0,1,3,0,0.33,0.47,0,0,0,0
box of cat6 cable,0.62,0,0,1,10,0,0.1,0.62,0,0,0,0
box of cat6a cable,0.56,0,0,1,1,0,1,0.56,0,0,0,0
box of cat6a cable 500ft,0.03,0,0,1,1,0,1,0.03,0,0,0,0
box of ethernet cable,0.31,0,0,1,28,0,0.04,0.31,0,0,0,0
box of ethernet cable,0.39,0,0,1,2,0,0.5,0.39,0,0,0,0
box of rj45 cable,0.29,0,0,1,1,0,1,0.29,0,0,0,0
box utp cat6,0.48,0,0,1,2,0,0.5,0.48,0,0,0,0
braid covered cable,0.46,0,0,1,1,0,1,0.46,0,0,0,0
braid in bundles,0.52,0,0,2,156,0,0.01,0.26,0,0,0,0
braided audio cable,0.51,0,0,2,35,0,0.06,0.26,0,0,0,0
braided audio cable bulk,0.23,0,0,1,3,0,0.33,0.23,0,0,0,0
braided cable bulk,0.24,0,0,1,1,0,1,0.24,0,0,0,0
braided coax cable rg59,0.5,0,0,1,1,0,1,0.5,0,0,0,0
braided coaxial cable,0.31,0,0,1,4,0,0.25,0.31,0,0,0,0
braided coaxial cable,0.42,0,0,1,7,0,0.14,0.42,0,0,0,0
braided core coax,0.06,0,0,1,1,0,1,0.06,0,0,0,0
braided ethernet cable,0.38,0,0,1,38,0,0.03,0.38,0,0,0,0
braided rf cables,0.7,0,0,2,4,0,0.5,0.35,0,0,0,0
braided shield cat 5e,0.5,0,0,1,1,0,1,0.5,0,0,0,0
build your own ethernet cable kit,0.2,0,0,1,1,0,1,0.2,0,0,0,0
build your own network cable kit,0.44,43.56,2,1,2,99,0.5,0.44,0,0.22,2,0
buld rg6 cable,0.24,0,0,1,1,0,1,0.24,0,0,0,0
bulk 14 gauge wire,0.53,0,0,1,7,0,0.14,0.53,0,0,0,0
bulk audio cable,0.74,0,0,2,65,0,0.03,0.37,0,0,0,0
bulk audio wire,0.5,0,0,1,1,0,1,0.5,0,0,0,0
bulk bonding cable,0.11,0,0,1,1,0,1,0.11,0,0,0,0
bulk by the foot rg59 coax,0.45,0,0,1,3,0,0.33,0.45,0,0,0,0
bulk cable,0.86,0,0,2,157,0,0.01,0.43,0,0,0,0
bulk cable 500 box,0.49,0,0,1,1,0,1,0.49,0,0,0,0
bulk cable parts,0.25,0,0,1,1,0,1,0.25,0,0,0,0
bulk cable rg6,0.63,0,0,1,1,0,1,0.63,0,0,0,0
bulk cable rg6,0.15,0,0,1,1,0,1,0.15,0,0,0,0
bulk cables,0.49,0,0,1,1,0,1,0.49,0,0,0,0
bulk cables,0.32,0,0,1,2,0,0.5,0.32,0,0,0,0
bulk cat 5,0.62,0,0,3,14,0,0.21,0.21,0,0,0,0
bulk cat 5 cable,0.36,0,0,1,2,0,0.5,0.36,0,0,0,0
bulk cat 5e,0.47,0,0,1,1,0,1,0.47,0,0,0,0
bulk cat 5e cable,0.37,0,0,1,9,0,0.11,0.37,0,0,0,0
bulk cat 5e cable per foot,0.28,0,0,1,2,0,0.5,0.28,0,0,0,0
bulk cat 6 cable,1.43,0,0,3,6,0,0.5,0.48,0,0,0,0
bulk cat5,0.44,0,0,1,33,0,0.03,0.44,0,0,0,0
bulk cat5 cable,1.28,0,0,3,43,0,0.07,0.43,0,0,0,0
bulk cat5 cable,0.5,0,0,1,4,0,0.25,0.5,0,0,0,0
bulk cat5 cctv cable,0.31,0,0,1,1,0,1,0.31,0,0,0,0
bulk cat5e,0.49,0,0,1,42,0,0.02,0.49,0,0,0,0
bulk cat5e cable,9.86,33.49,1,24,263,3.4,0.09,0.41,0,9.86,0.04,0
bulk cat5e cable lowes,0.41,0,0,1,1,0,1,0.41,0,0,0,0
bulk cat5e pure copper,0.23,0,0,1,1,0,1,0.23,0,0,0,0
bulk cat5e utp,0.57,0,0,1,3,0,0.33,0.57,0,0,0,0
bulk cat6,0.29,0,0,1,26,0,0.04,0.29,0,0,0,0
bulk cat6 cable,4.84,34.9,1,9,166,7.21,0.05,0.54,0,4.84,0.11,0
bulk cat6 cmr,0.01,0,0,1,2,0,0.5,0.01,0,0,0,0
bulk cat6 ethernet cable,1.12,0,0,2,16,0,0.13,0.56,0,0,0,0
bulk cat6 rg6 combo cable,0.12,0,0,1,1,0,1,0.12,0,0,0,0
bulk coax,0.43,0,0,1,2,0,0.5,0.43,0,0,0,0
bulk coax,0.42,0,0,1,1,0,1,0.42,0,0,0,0
bulk coax,0.78,0,0,2,6,0,0.33,0.39,0,0,0,0
bulk coax cable,1.52,0,0,4,22,0,0.18,0.38,0,0,0,0
bulk coax cable,0.82,0,0,2,27,0,0.07,0.41,0,0,0,0
bulk coax cable,1.8,0,0,7,66,0,0.11,0.26,0,0,0,0
bulk coax cable rg6,0.52,0,0,4,8,0,0.5,0.13,0,0,0,0
bulk coaxial black cable,0.52,0,0,1,1,0,1,0.52,0,0,0,0
bulk coaxial cable,0.5,0,0,1,1,0,1,0.5,0,0,0,0
bulk coaxial cable,4.23,53.52,2,10,156,12.65,0.06,0.42,0,2.12,0.2,0
bulk coaxial cable,0.64,0,0,1,9,0,0.11,0.64,0,0,0,0
bulk coaxial cable,3.41,0,0,9,60,0,0.15,0.38,0,0,0,0
bulk coaxial cable,5.29,0,0,16,160,0,0.1,0.33,0,0,0,0
bulk coaxial cable white,0.4,0,0,1,1,0,1,0.4,0,0,0,0
bulk coaxial cable white,0.4,0,0,1,1,0,1,0.4,0,0,0,0
bulk coxial cable,0.22,0,0,1,1,0,1,0.22,0,0,0,0
bulk electrical cable,0.58,0,0,1,1,0,1,0.58,0,0,0,0
bulk ethernet cable box,0.36,0,0,1,1,0,1,0.36,0,0,0,0
bulk ethernet cable for sale,0.48,0,0,1,1,0,1,0.48,0,0,0,0
bulk hd sdi cable,0.2,0,0,1,2,0,0.5,0.2,0,0,0,0
bulk home theater speaker wire,0.46,0,0,1,1,0,1,0.46,0,0,0,0
bulk outdoor coax,0.45,0,0,1,1,0,1,0.45,0,0,0,0
bulk outdoor uv jacket copper messenger,0.13,0,0,1,1,0,1,0.13,0,0,0,0
bulk rg 59,0.31,0,0,1,1,0,1,0.31,0,0,0,0
bulk rg 59u coaxal,0.3,0,0,1,1,0,1,0.3,0,0,0,0
bulk rg 6,0.47,0,0,1,2,0,0.5,0.47,0,0,0,0
bulk rg 6 cable,0.5,0,0,2,2,0,1,0.25,0,0,0,0
bulk rg59,0.87,0,0,2,2,0,1,0.44,0,0,0,0
bulk rg59 cable,1,0,0,2,4,0,0.5,0.5,0,0,0,0
bulk rg59 coax,0.5,0,0,1,3,0,0.33,0.5,0,0,0,0
bulk rg59 coax cable for sale,0.16,0,0,1,1,0,1,0.16,0,0,0,0
bulk rg59 u cable 500,0.47,0,0,1,1,0,1,0.47,0,0,0,0
bulk rg6,1.57,0,0,4,27,0,0.15,0.39,0,0,0,0
bulk rg6 cable,0.51,0,0,1,4,0,0.25,0.51,0,0,0,0
bulk rg6 cable,2.77,0,0,11,99,0,0.11,0.25,0,0,0,0
bulk rg6 cable,0.49,0,0,1,19,0,0.05,0.49,0,0,0,0
bulk rg6 coax,0.23,0,0,1,1,0,1,0.23,0,0,0,0
bulk rg6 coax,0.02,0,0,1,1,0,1,0.02,0,0,0,0
bulk rg6 coax cable,0.44,0,0,1,1,0,1,0.44,0,0,0,0
bulk rg6 coax cable,0.98,0,0,3,21,0,0.14,0.33,0,0,0,0
bulk rg6 coax cable 1000 feet,0.17,0,0,1,9,0,0.11,0.17,0,0,0,0
bulk rg6 coaxial cable,0.96,0,0,3,11,0,0.27,0.32,0,0,0,0
bulk rg6 wire,1,0,0,2,1,0,2,0.5,0,0,0,0
bulk security camera cable,0.48,0,0,1,4,0,0.25,0.48,0,0,0,0
bulk shielded solid copper cat5e ethernet cable,0.32,0,0,1,1,0,1,0.32,0,0,0,0
bulk siamese cable,0.31,0,0,1,4,0,0.25,0.31,0,0,0,0
bulk siamese cable,0.35,0,0,1,3,0,0.33,0.35,0,0,0,0
bulk soeaker wire,0.4,0,0,1,2,0,0.5,0.4,0,0,0,0
bulk solar pv panels,0.49,0,0,1,1,0,1,0.49,0,0,0,0
bulk speaker wire,0.64,0,0,1,3,0,0.33,0.64,0,0,0,0
bulk speaker wire 14 gauge,0.45,0,0,1,4,0,0.25,0.45,0,0,0,0
bulk sub cable,0.21,0,0,1,3,0,0.33,0.21,0,0,0,0
bulk tv cable wire,0.62,0,0,1,5,0,0.2,0.62,0,0,0,0
bulk tv cable wire,0.6,0,0,1,1,0,1,0.6,0,0,0,0
bulk utp cable,0.44,0,0,1,1,0,1,0.44,0,0,0,0
bulk video cable,0.5,0,0,1,2,0,0.5,0.5,0,0,0,0
bulkcoaxial cable,0.18,0,0,1,1,0,1,0.18,0,0,0,0
bundle cable cat 6 coax,0.42,0,0,1,1,0,1,0.42,0,0,0,0
bundled cable cat6a rg6,0.15,0,0,1,1,0,1,0.15,0,0,0,0
bundled rg6 cat6,0.32,199.66,3,1,1,623.94,1,0.32,0,0.11,3,0
burial catv cable,0.37,0,0,1,1,0,1,0.37,0,0,0,0
burial coax cable,0.85,0,0,2,7,0,0.29,0.42,0,0,0,0
burial rg6 grounded cable,0.42,0,0,1,1,0,1,0.42,0,0,0,0
buy bulk coaxial cable,0.57,0,0,1,1,0,1,0.57,0,0,0,0
buy cable rg6,1.26,0,0,2,1,0,2,0.63,0,0,0,0
buy cat5 cable,0.57,0,0,1,12,0,0.08,0.57,0,0,0,0
buy cat5 cable online,0.43,0,0,1,2,0,0.5,0.43,0,0,0,0
buy cat5 spool gigabit,0.41,0,0,1,1,0,1,0.41,0,0,0,0
buy cat5e,0.62,0,0,1,1,0,1,0.62,0,0,0,0
buy cat5e spool,0.48,0,0,1,1,0,1,0.48,0,0,0,0
buy coaxial cable,0.48,0,0,1,4,0,0.25,0.48,0,0,0,0
buy coaxial cable spool,0.23,0,0,1,1,0,1,0.23,0,0,0,0
buy red cat5 cable bulk,0.28,0,0,1,2,0,0.5,0.28,0,0,0,0
buy rg59,0.5,0,0,1,1,0,1,0.5,0,0,0,0
buy rg6,0.31,0,0,1,1,0,1,0.31,0,0,0,0
buy rg6 cable,0.47,0,0,1,1,0,1,0.47,0,0,0,0
buy rg6 cable,0.81,0,0,3,9,0,0.33,0.27,0,0,0,0
buy rg6 cble,0.3,0,0,1,1,0,1,0.3,0,0,0,0
buy rg6 coaxial cable,0.24,0,0,1,2,0,0.5,0.24,0,0,0,0
buy speaker cable,0.62,0,0,1,3,0,0.33,0.62,0,0,0,0
buying bulk coaxil cbale,0.55,0,0,1,1,0,1,0.55,0,0,0,0
ca6 bulk cable in 500ft box,0.49,0,0,1,1,0,1,0.49,0,0,0,0
cabel toner,0.45,0,0,1,1,0,1,0.45,0,0,0,0
cable and cat 5 box,0.4,0,0,1,2,0,0.5,0.4,0,0,0,0
cable and ethernet combo wire,0.31,0,0,1,1,0,1,0.31,0,0,0,0
cable cat5e shielded copper,0.21,0,0,1,2,0,0.5,0.21,0,0,0,0
cable cat5e shielded copper,0.22,0,0,1,2,0,0.5,0.22,0,0,0,0
cable coax cable,0.42,0,0,1,7,0,0.14,0.42,0,0,0,0
cable coax for sale 500 ft,0.52,0,0,1,1,0,1,0.52,0,0,0,0
cable coaxial,0.5,0,0,1,137,0,0.01,0.5,0,0,0,0
cable coaxial rg6,0.45,0,0,1,3,0,0.33,0.45,0,0,0,0
cable conductor 2 14,0.5,0,0,1,1,0,1,0.5,0,0,0,0
cable for camera system hundred foot,0.41,0,0,1,1,0,1,0.41,0,0,0,0
cable rg59,0.47,0,0,1,4,0,0.25,0.47,0,0,0,0
cable rg59,1.47,0,0,4,28,0,0.14,0.37,0,0,0,0
cable rg59 500 ft,0.41,0,0,1,1,0,1,0.41,0,0,0,0
cable rg6,0.14,0,0,1,10,0,0.1,0.14,0,0,0,0
cable rg6,1.25,0,0,4,78,0,0.05,0.31,0,0,0,0
cable rg6 spool,0.1,0,0,1,1,0,1,0.1,0,0,0,0
cable roll san antonio,0.45,0,0,1,1,0,1,0.45,0,0,0,0
cable shielded,0.46,0,0,1,1,0,1,0.46,0,0,0,0
cable spool rg6 cable,0.24,0,0,1,1,0,1,0.24,0,0,0,0
cable toner,6.03,0,0,12,262,0,0.05,0.5,0,0,0,0
cable tracker,0.5,0,0,1,4,0,0.25,0.5,0,0,0,0
cable tv 500,0.29,0,0,1,1,0,1,0.29,0,0,0,0
cable tv coax,0.9,0,0,2,6,0,0.33,0.45,0,0,0,0
cable wire,4.51,0,0,10,944,0,0.01,0.45,0,0,0,0
cable wire coaxial,0.13,0,0,1,1,0,1,0.13,0,0,0,0
cable wire roll,0.27,0,0,1,1,0,1,0.27,0,0,0,0
cable wire with messenger,0.38,0,0,1,5,0,0.2,0.38,0,0,0,0
cables with messangers,0.35,0,0,1,1,0,1,0.35,0,0,0,0
cad 5 wire,0.37,0,0,1,2,0,0.5,0.37,0,0,0,0
cad 6 wire,1.06,0,0,3,43,0,0.07,0.35,0,0,0,0
camera patch cords for camera,0.16,0,0,1,1,0,1,0.16,0,0,0,0
can you bury cat 5 cable,0.44,0,0,1,3,0,0.33,0.44,0,0,0,0
car5e stp cable,0.5,0,0,1,1,0,1,0.5,0,0,0,0
cat 45 cable spool,0.53,0,0,1,1,0,1,0.53,0,0,0,0
cat 5 1000 ft white utp cable,0.57,0,0,1,1,0,1,0.57,0,0,0,0
cat 5 250,0.1,0,0,1,3,0,0.33,0.1,0,0,0,0
cat 5 250 feet,0.08,0,0,1,1,0,1,0.08,0,0,0,0
cat 5 bulk cable,0.39,0,0,1,2,0,0.5,0.39,0,0,0,0
cat 5 cable,79.89,0,0,187,11666,0,0.02,0.43,0,0,0,0
cat 5 cable,0.78,0,0,2,426,0,0,0.39,0,0,0,0
cat 5 cable,0.46,0,0,1,34,0,0.03,0.46,0,0,0,0
cat 5 cable 1000 ft white,0.61,0,0,1,1,0,1,0.61,0,0,0,0
cat 5 cable 250 ft,0.62,0,0,2,10,0,0.2,0.31,0,0,0,0
cat 5 cable and connectors,0.45,0,0,1,1,0,1,0.45,0,0,0,0
cat 5 cable box,2.2,0,0,4,82,0,0.05,0.55,0,0,0,0
cat 5 cable box,0.42,0,0,1,1,0,1,0.42,0,0,0,0
cat 5 cable box price,0.9,0,0,2,5,0,0.4,0.45,0,0,0,0
cat 5 cable bulk,1.45,0,0,4,36,0,0.11,0.36,0,0,0,0
cat 5 cable connector,0.5,0,0,1,32,0,0.03,0.5,0,0,0,0
cat 5 cable cord,0.27,0,0,1,1,0,1,0.27,0,0,0,0
cat 5 cable ebay,0.48,0,0,1,1,0,1,0.48,0,0,0,0
cat 5 cable home depot,0.47,0,0,1,45,0,0.02,0.47,0,0,0,0
cat 5 cable in bulk,0.56,0,0,1,1,0,1,0.56,0,0,0,0
cat 5 cable in bulk,0.5,0,0,1,1,0,1,0.5,0,0,0,0
cat 5 cable in thousand foot boxes,0.4,0,0,1,2,0,0.5,0.4,0,0,0,0
cat 5 cable making kit,0.23,0,0,1,5,0,0.2,0.23,0,0,0,0
cat 5 cable price,0.8,0,0,2,27,0,0.07,0.4,0,0,0,0
cat 5 cable roll,0.45,0,0,1,8,0,0.13,0.45,0,0,0,0
cat 5 cable sewell,0.1,0,0,1,2,0,0.5,0.1,0,0,0,0
cat 5 cable sewell cat5e,0.19,0,0,1,3,0,0.33,0.19,0,0,0,0
cat 5 cable spindle,0.58,0,0,1,1,0,1,0.58,0,0,0,0
cat 5 cable spool,1.47,0,0,4,41,0,0.1,0.37,0,0,0,0
cat 5 cable white,1.04,0,0,3,11,0,0.27,0.35,0,0,0,0
cat 5 cable white pull box,0.62,0,0,1,1,0,1,0.62,0,0,0,0
cat 5 cable with rj45 connector,0.14,0,0,1,3,0,0.33,0.14,0,0,0,0
cat 5 canle,0.16,0,0,1,1,0,1,0.16,0,0,0,0
cat 5 canle for survilliance camersa,0.41,0,0,1,1,0,1,0.41,0,0,0,0
cat 5 e,1.34,0,0,3,27,0,0.11,0.45,0,0,0,0
cat 5 e wite,0.14,0,0,1,1,0,1,0.14,0,0,0,0
cat 5 messenger cable,0.25,0,0,1,1,0,1,0.25,0,0,0,0
cat 5 per foot,0.42,0,0,1,3,0,0.33,0.42,0,0,0,0
cat 5 phone wire,0.3,0,0,1,5,0,0.2,0.3,0,0,0,0
cat 5 pull cable white,0.84,0,0,2,1,0,2,0.42,0,0,0,0
cat 5 riser,0.38,0,0,1,4,0,0.25,0.38,0,0,0,0
cat 5 spool,0.56,0,0,1,1,0,1,0.56,0,0,0,0
cat 5 stp cable cost,0.46,0,0,1,1,0,1,0.46,0,0,0,0
cat 5 wire,3.07,0,0,9,582,0,0.02,0.34,0,0,0,0
cat 5 wire 1500 ft,0.49,0,0,1,3,0,0.33,0.49,0,0,0,0
cat 5 wire cheap,0.62,0,0,2,1,0,2,0.31,0,0,0,0
cat 5 wire cost,0.3,0,0,1,1,0,1,0.3,0,0,0,0
cat 5 wire crimping kit,0.44,0,0,1,2,0,0.5,0.44,0,0,0,0
cat 5 wire for sale,0.39,0,0,1,4,0,0.25,0.39,0,0,0,0
cat 5 wire price,0.25,0,0,1,4,0,0.25,0.25,0,0,0,0
cat 5 wires,0.48,0,0,1,2,0,0.5,0.48,0,0,0,0
cat 5 wiring for sale,0.48,0,0,1,1,0,1,0.48,0,0,0,0
cat 5 witr cost,0.33,0,0,1,1,0,1,0.33,0,0,0,0
cat 5e 1000 ft dark gray,0.03,0,0,1,1,0,1,0.03,0,0,0,0
cat 5e 500 ft,0.41,0,0,2,4,0,0.5,0.2,0,0,0,0
cat 5e bulk,0.4,0,0,1,3,0,0.33,0.4,0,0,0,0
cat 5e bulk 500ft,0.31,0,0,1,1,0,1,0.31,0,0,0,0
cat 5e cable,2.4,0,0,5,459,0,0.01,0.48,0,0,0,0
cat 5e cable 1000 ft,0.4,0,0,1,2,0,0.5,0.4,0,0,0,0
cat 5e cable bulk,0.5,0,0,1,4,0,0.25,0.5,0,0,0,0
cat 5e cable in box,0.12,0,0,1,1,0,1,0.12,0,0,0,0
cat 5e for sale,0.6,0,0,1,3,0,0.33,0.6,0,0,0,0
cat 5e ftp foil,0.43,0,0,1,1,0,1,0.43,0,0,0,0
cat 5e gray bulk network cable 250 foot,0.41,0,0,1,2,0,0.5,0.41,0,0,0,0
cat 5e home depot,0.11,0,0,1,15,0,0.07,0.11,0,0,0,0
cat 5e kit,1.6,0,0,6,9,0,0.67,0.27,0,0,0,0
cat 5e lan,0.23,0,0,1,1,0,1,0.23,0,0,0,0
cat 5e lime green bulk,0.28,0,0,1,3,0,0.33,0.28,0,0,0,0
cat 5e pull full copper,0.39,0,0,1,2,0,0.5,0.39,0,0,0,0
cat 5e reel,0.42,0,0,1,2,0,0.5,0.42,0,0,0,0
cat 5e rj45 jacks solid wire,0.36,0,0,1,1,0,1,0.36,0,0,0,0
cat 5e shield and braided,0.5,0,0,1,1,0,1,0.5,0,0,0,0
cat 5e shield stp,0.4,0,0,1,1,0,1,0.4,0,0,0,0
cat 5e spool,0.62,0,0,1,6,0,0.17,0.62,0,0,0,0
cat 5e wire,0.83,0,0,2,58,0,0.03,0.42,0,0,0,0
cat 5e with 18 2,0.3,0,0,1,1,0,1,0.3,0,0,0,0
cat 5e with messenger,0.26,0,0,1,3,0,0.33,0.26,0,0,0,0
cat 6,5.42,0,0,12,940,0,0.01,0.45,0,0,0,0
cat 6 1000,0.6,0,0,1,13,0,0.08,0.6,0,0,0,0
cat 6 1000ft,0.62,0,0,1,61,0,0.02,0.62,0,0,0,0
cat 6 1000ft copper white,0.45,0,0,1,2,0,0.5,0.45,0,0,0,0
cat 6 1000ft roll,0.58,0,0,1,2,0,0.5,0.58,0,0,0,0
cat 6 24 gauge pull box,0.01,0,0,1,1,0,1,0.01,0,0,0,0
cat 6 500ft,0.56,0,0,1,1,0,1,0.56,0,0,0,0
cat 6 and coax installation,0.08,0,0,1,1,0,1,0.08,0,0,0,0
cat 6 bulk cable,0.47,0,0,1,3,0,0.33,0.47,0,0,0,0
cat 6 bundles,0.32,0,0,1,2,0,0.5,0.32,0,0,0,0
cat 6 cable,5.68,0,0,10,2098,0,0,0.57,0,0,0,0
cat 6 cable 250,0.45,0,0,1,1,0,1,0.45,0,0,0,0
cat 6 cable 250 ft,0.56,0,0,2,5,0,0.4,0.28,0,0,0,0
cat 6 cable bulk,1.84,117.13,1,5,199,63.66,0.03,0.37,0,1.84,0.2,0
cat 6 cable bulk 1000,0.6,0,0,1,4,0,0.25,0.6,0,0,0,0
cat 6 cable bulk 250 ft,0.44,0,0,1,2,0,0.5,0.44,0,0,0,0
cat 6 cable bulk lime green,0.05,0,0,1,3,0,0.33,0.05,0,0,0,0
cat 6 cable in black,0.5,0,0,1,1,0,1,0.5,0,0,0,0
cat 6 cable per foot,0.35,0,0,1,5,0,0.2,0.35,0,0,0,0
cat 6 canle,0.35,0,0,1,8,0,0.13,0.35,0,0,0,0
cat 6 per foot,0.39,0,0,1,1,0,1,0.39,0,0,0,0
cat 6 rg 6 bundled cable,0.46,0,0,1,1,0,1,0.46,0,0,0,0
cat 6 rg6,0.36,0,0,1,2,0,0.5,0.36,0,0,0,0
cat 6 spool,0.76,0,0,2,48,0,0.04,0.38,0,0,0,0
cat 6 utp,0.64,0,0,1,7,0,0.14,0.64,0,0,0,0
cat 6 wire,0.5,0,0,1,30,0,0.03,0.5,0,0,0,0
cat 6 wire price 1000 feet wire,0.44,0,0,1,1,0,1,0.44,0,0,0,0
cat 6 wiring,0.95,0,0,3,375,0,0.01,0.32,0,0,0,0
cat 6 with rg6,0.39,0,0,1,1,0,1,0.39,0,0,0,0
cat cable toner,0.49,0,0,1,1,0,1,0.49,0,0,0,0
cat five cable,1.36,0,0,3,65,0,0.05,0.45,0,0,0,0
cat five wiring,0.45,0,0,1,17,0,0.06,0.45,0,0,0,0
cat six cable,1.19,0,0,2,24,0,0.08,0.6,0,0,0,0
cat v cable,0.24,0,0,1,27,0,0.04,0.24,0,0,0,0
cat5 1000 ft,0.62,0,0,1,15,0,0.07,0.62,0,0,0,0
cat5 18 2,0.42,0,0,1,3,0,0.33,0.42,0,0,0,0
cat5 500,0.1,0,0,1,1,0,1,0.1,0,0,0,0
cat5 and coax cable,0.39,0,0,1,1,0,1,0.39,0,0,0,0
cat5 black cable,0.58,0,0,1,1,0,1,0.58,0,0,0,0
cat5 box,1.03,0,0,2,77,0,0.03,0.52,0,0,0,0
cat5 box cable price,0.32,0,0,1,1,0,1,0.32,0,0,0,0
cat5 braided shield,0.96,0,0,2,1,0,2,0.48,0,0,0,0
cat5 bulk,1.31,0,0,3,12,0,0.25,0.44,0,0,0,0
cat5 cable,22.91,0,0,64,4204,0,0.02,0.36,0,0,0,0
cat5 cable 1000ft,0.01,0,0,1,60,0,0.02,0.01,0,0,0,0
cat5 cable 250 feet outdoor rated,0.55,0,0,1,1,0,1,0.55,0,0,0,0
cat5 cable box,1.25,0,0,3,53,0,0.06,0.42,0,0,0,0
